suggestion_id,target,ai_proposition,ai_recommendation,human_decision,human_reason,evidence_checked,diagram_or_dictionary_revision,reviewer,review_date
AI01,NATURAL_ADULT_SPAWNERS; N6; N13,"Describe the reported adult-spawner scope as mature fish excluding jacks, retaining the source field name and a question about natural.",accept,,,,,,
AI02,NATURAL_ADULT_SPAWNERS; N13,Treat natural as natural-origin and automatically assign a NaturalOrigin constraint.,reject,,,,,,
AI03,NATURAL_ADULT_SPAWNERS; N6; N7,"Use abundance as the reusable property in a working decomposition, while retaining entity, scope, unit, method and dimensions separately.",accept,,,,,,
AI04,NATURAL_ADULT_SPAWNERS; N8; N9,Model the numeric cell 758 as a measurement activity.,revise,,,,,,
AI05,ANALYSIS_YR; N5,Map ANALYSIS_YR to brood year because it is an annual salmon estimate.,reject,,,,,,
AI06,ANALYSIS_YR; WATERBODY; N5; N6,Attach 2023 and BONAPARTE RIVER as fixed constraints on the entire adult-spawner column.,revise,,,,,,
AI07,ESTIMATE_METHOD; N8; N11,Keep the row-specific method linked to the observation/estimation activity and review each method-code meaning before reuse.,accept,,,,,,
AI08,NATURAL_ADULT_SPAWNERS; ESTIMATE_CLASSIFICATION,"Replace the 13 blank estimates with zero, using NO SURVEY THIS YEAR to justify the conversion.",reject,,,,,,
AI09,NATURAL_ADULT_SPAWNERS,Round decimal estimates to integers because the unit is individuals.,reject,,,,,,
AI10,POP_ID; ANALYSIS_YR; WATERBODY; N1,"Use POP_ID plus ANALYSIS_YR as a unique record key, then drop or sum repeated pairs.",reject,,,,,,
AI11,POP_ID; N2; N14,Assign the population record to a Conservation Unit from its population name or species label.,reject,,,,,,
AI12,AREA,Describe AREA as a PFMA/statistical-area code because the starter dictionary does so.,revise,,,,,,
AI13,ESTIMATE_STAGE; scientific-review status,"Treat FINAL in the source and a passing software check as approval of the workshop dictionary, graph and publication.",reject,,,,,,
