suggestion_id,target,proposition,recommended_disposition,rationale,evidence,status
AI01,NATURAL_ADULT_SPAWNERS; N6; N13,"Describe the reported adult-spawner scope as mature fish excluding jacks, retaining the source field name and a question about natural.",accept,The current official definition supports the maturity/jack distinction. It does not resolve every qualifier or prove applicability to every historical source version.,raw_data/official-nuseds-dictionary.csv:NATURAL_ADULT_SPAWNERS; reference/variable-decomposition-working.csv,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI02,NATURAL_ADULT_SPAWNERS; N13,Treat natural as natural-origin and automatically assign a NaturalOrigin constraint.,reject,"This is a rejected alternative. The starter dictionary uses natural-origin wording, but the official definition does not establish that restriction. A matching term label would not supply the missing source evidence.",raw_data/source-column-dictionary.csv:NATURAL_ADULT_SPAWNERS; raw_data/official-nuseds-dictionary.csv:NATURAL_ADULT_SPAWNERS,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI03,NATURAL_ADULT_SPAWNERS; N6; N7,"Use abundance as the reusable property in a working decomposition, while retaining entity, scope, unit, method and dimensions separately.",accept,"This follows the SDO composition pattern. It is a conceptual interpretation to review, not authorization to apply an IRI or treat the complete compound variable as synonymous with abundance.","reference/variable-decomposition-working.csv; reference/dataset-nodes-working.csv:N6,N7; SDO CONVENTIONS.md section 12; reference/metamodel-source-notes.md",recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI04,NATURAL_ADULT_SPAWNERS; N8; N9,Model the numeric cell 758 as a measurement activity.,revise,"The number is the reported value of a result. The observation/estimation activity produces a result, uses a method and has context. Keep the activity, complete variable and value distinct.",raw_data/nuseds-fraser-coho-2023-2024.csv:first data record; reference/dataset-edges-working.csv; SDO module 02 Measurement/EscapementEstimate distinction; reference/metamodel-source-notes.md,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI05,ANALYSIS_YR; N5,Map ANALYSIS_YR to brood year because it is an annual salmon estimate.,reject,This is a rejected alternative. The official definition gives the year the estimate is for and allows inspections into the next calendar year. It does not establish brood year.,raw_data/official-nuseds-dictionary.csv:ANALYSIS_YR; reference/data-dictionary-working.csv:ANALYSIS_YR,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI06,ANALYSIS_YR; WATERBODY; N5; N6,Attach 2023 and BONAPARTE RIVER as fixed constraints on the entire adult-spawner column.,revise,"Those values belong to particular rows. Preserve row-varying place and year as dimensions/context, distinguish the year basis, and verify the full record grain before defining an observation structure.",raw_data/nuseds-fraser-coho-2023-2024.csv; reference/variable-decomposition-working.csv; SDO CONVENTIONS.md section 12; reference/metamodel-source-notes.md,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI07,ESTIMATE_METHOD; N8; N11,Keep the row-specific method linked to the observation/estimation activity and review each method-code meaning before reuse.,accept,The current source dictionary distinguishes estimate methods and leaves some entries without substantive definitions. Method tells how a result was produced; it is not interchangeable with the abundance property or the result value.,raw_data/official-nuseds-dictionary.csv:ESTIMATE_METHOD; reference/dataset-edges-working.csv:N8 to N11; reference/metamodel-source-notes.md,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI08,NATURAL_ADULT_SPAWNERS; ESTIMATE_CLASSIFICATION,"Replace the 13 blank estimates with zero, using NO SURVEY THIS YEAR to justify the conversion.",reject,This is a rejected alternative. A missing estimate is not an observed zero. Classification can explain some context but does not justify an across-the-board replacement or establish every missing-value cause.,raw_data/nuseds-fraser-coho-2023-2024.csv; raw_data/official-nuseds-dictionary.csv:ESTIMATE_CLASSIFICATION; reference/data-dictionary-working.csv,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI09,NATURAL_ADULT_SPAWNERS,Round decimal estimates to integers because the unit is individuals.,reject,"This is a rejected alternative. The source reports estimates, including decimals. A unit of individuals does not make an estimate an exact observed count or authorize alteration of the source values.",raw_data/nuseds-fraser-coho-2023-2024.csv; raw_data/source-column-dictionary.csv:NATURAL_ADULT_SPAWNERS; reference/data-dictionary-working.csv,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI10,POP_ID; ANALYSIS_YR; WATERBODY; N1,"Use POP_ID plus ANALYSIS_YR as a unique record key, then drop or sum repeated pairs.",reject,This is a rejected alternative. There are 173 records but 164 distinct pairs; five pairs repeat. The Nicola River 2023 records name different portions. The table does not establish a deduplication or aggregation rule.,raw_data/nuseds-fraser-coho-2023-2024.csv; reference/scientific-review-packet.md:checks from actual table,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI11,POP_ID; N2; N14,Assign the population record to a Conservation Unit from its population name or species label.,reject,"This is a rejected alternative. The catalog says populations can be grouped by CU, but the slice contains no CU field or membership crosswalk. A dated authoritative assignment source is needed.",raw_data/open-canada-record.json:notes; raw_data/nuseds-fraser-coho-2023-2024.csv:headers; reference/dataset-nodes-working.csv:N14,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI12,AREA,Describe AREA as a PFMA/statistical-area code because the starter dictionary does so.,revise,The current official dictionary describes subdistricts and explicitly notes differences from statistical areas for Fraser streams. Retain the starter wording as source evidence and correct the working description to NuSEDS subdistrict.,raw_data/source-column-dictionary.csv:AREA; raw_data/official-nuseds-dictionary.csv:AREA; reference/data-dictionary-working.csv:AREA,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
AI13,ESTIMATE_STAGE; scientific-review status,"Treat FINAL in the source and a passing software check as approval of the workshop dictionary, graph and publication.",reject,"This is a rejected alternative. FINAL concerns the source estimate stage. Structural validation checks software requirements. Neither substitutes for a named scientific review, learner peer review or publication authority.",raw_data/official-nuseds-dictionary.csv:ESTIMATE_STAGE; worksheets/peer-review.md; reference/scientific-review-packet.md,recorded Codex authoring-assistant advice; human decision pending; not a native package mapping
